序号	传输方向	时间戳	ID	帧格式	帧类型	长度	数据	
280000	接收	 15:01:39.823.0	0x00000700	数据帧	标准帧	8	00 20 00 40 41 00 00 00 
280001	接收	 15:01:39.823.0	0x00000760	数据帧	标准帧	8	00 06 00 00 00 00 00 00 
280002	接收	 15:01:39.823.0	0x00000727	数据帧	标准帧	8	FE 00 FE 00 FE 00 FE 00 
280003	接收	 15:01:39.823.0	0x00000703	数据帧	标准帧	7	80 00 7F 00 2F FD 37 
280004	接收	 15:01:39.823.0	0x00000400	数据帧	标准帧	8	28 05 9B 02 00 00 00 00 
280005	接收	 15:01:39.823.0	0x00000401	数据帧	标准帧	8	01 05 05 7A 16 05 00 00 
280006	接收	 15:01:39.823.0	0x00000402	数据帧	标准帧	8	0F 00 0F 00 06 10 04 03 
280007	接收	 15:01:39.823.0	0x00000403	数据帧	标准帧	8	4F 00 FF 03 00 00 00 00 
280008	接收	 15:01:39.823.0	0x00000410	数据帧	标准帧	8	4C 23 04 00 00 00 00 00 
280009	接收	 15:01:39.823.0	0x00000411	数据帧	标准帧	8	00 8C 34 5D 00 00 00 00 
280010	接收	 15:01:39.823.0	0x00000412	数据帧	标准帧	8	02 0A 02 06 05 03 00 00 
280011	接收	 15:01:39.823.0	0x00000669	数据帧	标准帧	8	20 00 00 00 00 20 00 00 
280012	接收	 15:01:39.823.0	0x00000650	数据帧	标准帧	8	C0 40 00 00 42 58 00 00 
280013	接收	 15:01:39.823.0	0x00000737	数据帧	标准帧	8	00 80 00 08 FF 7F FF 7F 
280014	接收	 15:01:39.823.0	0x00000738	数据帧	标准帧	6	01 A2 00 02 03 00 
280015	接收	 15:01:39.823.0	0x00000739	数据帧	标准帧	8	31 B9 09 FA 03 30 0F 80 
280016	接收	 15:01:39.823.0	0x0000073a	数据帧	标准帧	8	3F 21 56 F0 FF 00 08 7F 
280017	接收	 15:01:39.823.0	0x0000073b	数据帧	标准帧	8	FE FC E7 00 00 00 0F 00 
